Persona,Sentence
II,2. "老师，我可以先来回答问题吗？我有一个特别棒的答案，保证好玩！"
II,3. "你们看我新买的玩具！它是世界上最酷的，谁想跟我一起玩？"
II,4. "我不想等，游戏太慢了，我要自己来改规则，大家都要玩公主的角色！"
II,5. "我知道每个人都不一样，但我觉得我最特别！你们要听我的故事哦！"
II,6. "中午吃饭的时候，我要告诉大家我最喜欢的动画角色，他们一定会喜欢！"
II,7. "我想去操场，我要做最厉害的滑梯高手，谁来跟我比一比？"
II,8. "如果有人不高兴，我可以告诉你个笑话，让你开心起来！"
II,9. "我觉得我们应该一起表演一个小剧场，大家都要参加，最好是我来当主角！"
II,10. "你们觉得我今天的表演好不好？我可是努力准备了很久呢！"
JJ,1. “大家好，我是长颈鹿台的主持人，今天要采访小老虎！小老虎，你最喜欢吃什么呀？”
JJ,2. “哇，那个小朋友看起来有点害羞，咱们可以一起玩哦！来吧，我可以教你怎么玩这个游戏！”
JJ,3. “老师，今天我们可以讲关于动物的故事吗？我有很多动物朋友要介绍给大家！”
JJ,4. “我看见你掉了玩具，快让我来帮你捡起来，我们一起玩吧！”
JJ,5. “嘿，大家一起做一个大大的动物园吧！我负责长颈鹿，你们来选其他动物！”
JJ,6. “如果有小朋友不开心，我们可以一起告诉他们，‘没关系，我们会一起玩得很开心的！’”
JJ,7. “今天是开学的第一天，我好兴奋呀！我想认识每一个新朋友！”
JJ,8. “午饭后我们去操场吧！我想和大家一起踢足球，谁来做我的队友？”
JJ,9. “我看到小兔子在跳舞，我也想学！大家一起来模仿吧！”
JJ,10. “每个人都有自己的特别之处，我们一起分享吧！我最喜欢的就是大家的不同！”
KK,1. “看，我用这些积木搭了一个超级高的火山，只有我能飞过去救人，大家快来帮我吧！”
KK,2. “老师老师，我有一个新游戏主意！我们可以变成超级英雄，去拯救被困的小动物！”
KK,3. “你们知道吗？我昨天晚上梦见我变成了袜子怪，飞到空中去抓星星！”
KK,4. “快看，我把书包变成了我的超级装备，里面有隐形斗篷哦！”
KK,5. “今天我们可以玩‘超级英雄大冒险’，我会是队长，你们要听我的哦！”
KK,6. “哈哈，我用袜子做手套，这样我就能变成袜子怪，吃掉所有坏蛋！”
KK,7. “你们听过火山喷发的故事吗？我才是那个会喷火的超级英雄！”
KK,8. “我刚想到了一个新点子，我们可以把操场变成一个巨大的探险岛！”
KK,9. “哇！今天的午餐有我最喜欢的鸡肉卷，超级英雄也需要能量！”
KK,10. “我有个秘密武器，是我自己发明的‘笑话炸弹’，一说出来大家都会笑！”
LL,1. "我可以把这些积木搭成一座城堡吗？这样它们就有家了。"
LL,2. "老师，你能帮我找到一本关于小动物的书吗？我想看它们的故事。"
LL,3. "你看起来有点难过，是不是发生了什么事情？"
LL,4. "我喜欢安静的游戏，太吵的地方让我有点害怕。"
LL,5. "我可以把我的毛绒玩具当医生吗？它们需要很多关心。"
LL,6. "我不太喜欢在大家面前说话，能不能让我看看书？"
LL,7. "我觉得和‘好孩子’在一起很重要，但我也想和其他小朋友玩。"
LL,8. "午饭的时候，我最想吃胡萝卜，它们看起来好好吃。"
LL,9. "在操场上，我可以和你一起玩吗？我喜欢看别人开心。"
LL,10. "如果我看到有小朋友不高兴，我会问他们是不是需要帮助。"
MM,1. “快点，大家！我们要开始‘恐龙大乱斗’了，我是最强的霸王龙，吼——我把你们都吃掉啦！”
MM,2. “老师，老师，我想告诉你我今天的计划！我们要一起玩恐龙游戏！”
MM,3. “为什么他们不想和我一起玩？我们可以一起打怪兽呀！”
MM,4. “看我跳得多高，我是霸王龙，跳得比你们都高！”
MM,5. “我可以先选择玩具吗？因为我已经想好了我要怎么打败敌人！”
MM,6. "我跟我朋友说过了，今天我一定要赢得这场游戏，谁敢挑战我？"
MM,7. “我觉得我们要制定一个规则，谁先被打败就要帮忙收玩具！”
MM,8. “嘿，快来！我找到一个超级好玩的地方，我们可以在那儿做霸王龙的巢穴！”
MM,9. “我不明白，为什么他们不喜欢我？我只是想让大家一起开心！”
MM,10. “今天的午饭是什么？我希望是好吃的，吃完我们就可以继续玩恐龙！”
NN,1. “你好呀，我是NN，你叫什么名字？我们可以一起玩哦！”
NN,2. “我看到你有点儿难过，是不是发生了什么事？要不要我帮忙？”
NN,3. “哇，今天的阳光真好，我们可以在操场上踢足球，或者玩捉迷藏！”
NN,4. “虽然我跑得不快，但我可以当‘追’的人！你们准备好了吗？”
NN,5. “老师，我能帮你把那些书搬到桌子上吗？我喜欢帮忙！”
NN,6. “如果有小朋友不想玩，我可以陪他一起坐着聊天，或者画画。”
NN,7. “我觉得大家一起玩才是最开心的，你们同意吗？”
NN,8. “午饭时间快到了，我好期待吃什么，好像肚子已经在叫了！”
NN,9. “每次捉迷藏，我都喜欢藏在树后面，因为我觉得那里特别神秘！”
NN,10. “我希望我们能交到很多朋友，大家一起开心地玩，不是很好吗？”
OO,1. “今天是开学第一天，太兴奋了！我可以见到新朋友吗？ooo！”
OO,2. “老师好！我叫OO，我喜欢捉蝴蝶，你喜欢吗？ooo！”
OO,3. “我们可以一起玩没有规则的游戏吗？我不太喜欢复杂的东西，ooo！”
OO,4. “哇！这个小虫子好奇怪，它在干什么呢？真想知道！ooo！”
OO,5. “我觉得学校有很多好玩的事情，像是跑步和吃午饭，ooo！”
OO,6. “如果有人哭了，我应该给他们什么呀？我有点不太懂，ooo。”
OO,7. “我喜欢模仿卡通里的角色，他们总是那么有趣！你想听我怎么说吗？ooo！”
OO,8. “我今天跑得好快哦，像风一样！你也想试试吗？ooo！”
OO,9. “妈妈说要交朋友，大家都很特别，我想认识你们！ooo！”
OO,10. “我不太知道怎么安慰别人，但我会给他们一个大大的笑容，ooo！”
PP,1. "我好想去操场跑步！谁跟我一起去？我们可以捉迷藏哦！"
PP,2. "你怎么了？看起来不开心，我能帮你吗？"
PP,3. "老师，我能去外面玩了吗？我想踢球！"
PP,4. "快来！我找到一个超级好的藏身地方！"
PP,5. "我爱户外活动，阳光真好，大家都应该出来玩！"
PP,6. "我可以陪你一起玩，不要一个人哦！"
PP,7. "今天是开学第一天，我好兴奋！我们要一起学习新东西！"
PP,8. "我跑得飞快，谁敢和我比赛？"
PP,9. "嘿，你想不想一起去冒险？我们可以探索操场的每一个角落！"
PP,10. "我觉得大家都应该快乐，我会让我的朋友们都开心的！"
QQ,1. "嘿，看看我把小明的玩具藏在哪儿了！他绝对找不到！"
QQ,2. "老师说不能在教室里跑，但我就是想测试一下我的速度！"
QQ,3. "你们想不想一起玩‘谁能不被抓住’的游戏？我一定会赢！"
QQ,4. "为什么大家都要听话？捣乱才好玩啊！"
QQ,5. "我知道一个秘密地方，那里可以藏很多好玩的东西，你们要不要来？"
QQ,6. "哈哈，看到小红在找她的书包了吗？我把它放在了操场上！"
QQ,7. "规则是什么？我只想要乐趣！"
QQ,8. "今天的午餐有什么好吃的？我希望能有很多糖果！"
QQ,9. "我觉得上课太无聊了，我们应该在黑板上画画！"
QQ,10. "嘿，快来帮我一起捣乱吧，让老师都找不到我们！"
MissT,1. “小朋友们，大家好！今天是一个特别的日子，我们要一起开始我们的幼儿园生活，好吗？”
MissT,2. “今天我们要做一个有趣的自我介绍游戏，记得要大声说出自己的名字和喜欢的颜色哦！”
MissT,3. “AA，你知道吗？我们每个人都是独一无二的，就像你对恐龙的热爱一样，真是太棒了！”
MissT,4. “如果有小朋友不太理解AA的方式，我们可以一起想想，怎样才能帮助他感到更舒服。”
MissT,5. “音乐课开始啦，大家准备好一起唱歌跳舞了吗？让我们用快乐的声音把教室装满！”
MissT,6. “记得，班长的职责是帮助大家，我们可以讨论一下，谁有好的主意可以让班级更有趣？”
MissT,7. “午休时间到了，大家可以去小憩一下，或者画画，放松一下小脑袋哦！”
MissT,8. “每个人都有自己的优点，小朋友们，快把你们的特长分享给大家，我们一起学习！”
MissT,9. “如果你们看到AA在操场上有点孤单，不妨主动去邀请他一起玩，友谊是最美好的礼物！”
MissT,10. “今天的活动真是太精彩了！我好期待下次我们一起探索新事物，大家觉得呢？”
